timestamp,ssim,mae_abs,rmse_abs
2024-01-04 18:00:00,0.9926879302629186,0.32286674,0.44777495
2024-01-04 19:00:00,0.9875150178242047,0.697933,1.0579429
2024-01-04 20:00:00,0.9909072650027249,0.4443235,0.63228834
2024-01-04 21:00:00,0.9885440496907332,0.5333199,0.6708832
2024-01-04 22:00:00,0.9860294461777069,0.41357964,0.5063274
2024-01-04 23:00:00,0.9798600835291869,0.5834442,0.6982044
2024-01-05 00:00:00,0.9757390810229564,0.6538969,0.7969084
2024-01-05 01:00:00,0.9694257439783192,0.9026659,1.0530134
2024-01-05 02:00:00,0.9668173517565586,0.9450499,1.0930458
2024-01-05 03:00:00,0.9697723257394664,0.9352359,1.0427895
2024-01-05 04:00:00,0.9841601701898413,0.4590635,0.5779344
2024-01-05 05:00:00,0.9878335099809349,0.24803798,0.31049666
2024-01-05 06:00:00,0.9921564209687972,0.16626632,0.20765665
2024-01-05 07:00:00,0.9931926378689775,0.18595351,0.23004898
2024-01-05 08:00:00,0.9939845803259358,0.30905682,0.36963013
2024-01-05 09:00:00,0.9941311709638617,0.30805144,0.36320478
2024-01-05 10:00:00,0.9939989272607576,0.2858967,0.34573698
2024-01-05 11:00:00,0.9955034113403884,0.285119,0.3443853
2024-01-05 12:00:00,0.9942412518968827,0.3874747,0.4612955
2024-01-05 13:00:00,0.9950215690726534,0.5173996,0.59424984
2024-01-05 14:00:00,0.9952997938770506,0.24973579,0.3173466
2024-01-05 15:00:00,0.9947525904594713,0.2909939,0.39150172
2024-01-05 16:00:00,0.9935240009980675,0.5071095,0.63867927
2024-01-05 17:00:00,0.9944096507774078,0.36914548,0.50815856
2024-01-05 18:00:00,0.9934759181290401,0.4420259,0.6387398
2024-01-05 19:00:00,0.9923188622644901,0.5463014,0.7029481
2024-01-05 20:00:00,0.9918978436320189,0.45057136,0.6019993
2024-01-05 21:00:00,0.9901836026112205,0.4002444,0.5573179
2024-01-05 22:00:00,0.9875719211359094,0.48984468,0.67135286
2024-01-05 23:00:00,0.9843292010195698,0.685897,0.8650908
2024-01-06 00:00:00,0.9860011807368285,0.6034934,0.73629874
2024-01-06 01:00:00,0.9819917117590635,0.9410121,1.0504504
2024-01-06 02:00:00,0.9790782072788216,1.0057034,1.1062462
2024-01-06 03:00:00,0.9822209736467281,0.8437365,0.91180605
2024-01-06 04:00:00,0.9913457800403668,0.43376246,0.5700103
2024-01-06 05:00:00,0.9930932094488729,0.16779192,0.20988144
